User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Craigy144	3099	11	0	0	8	3	1	38	0	0	0	1	3161
Crazycomputers	648	9	21	0	70	15	8	833	54	10	0	4	1672
Crazytales	186	16	2	0	19	1	2	121	30	3	0	0	380
Cremepuff222	176	6	0	0	3	2	1	98	5	0	0	0	291
Croat Canuck	83	3	0	0	1	1	0	5	1	0	0	0	94
Crum375	187	18	1	0	98	7	24	291	13	2	0	0	641
Cryptic	9383	238	0	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	0	156	28	0	150	13	0	0	0	5619
Cuchullain	451	91	0	0	18	1	4	52	0	0	0	0	617
Curps	5148	166	0	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	0	7	0	0	0	0	76
