User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Chris 73	1929	15	0	46	8	0	697	30	3	0	0	2728
Chris G	6858	154	0	247	15	38	2910	70	224	0	8	10524
Chris Roy	3	0	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	0	51	8	0	210	21	0	0	0	1432
ChrisO	2405	22	0	337	63	35	757	39	3	0	1	3662
ChrisTheDude	676	16	0	6	0	0	13	2	0	0	0	713
Chrislk02	4100	61	0	134	21	8	1632	91	12	0	5	6064
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	43
Christopher Parham	495	6	0	4	2	0	24	1	0	0	0	532
Christopher Sundita	62	39	0	8	4	0	17	2	0	0	0	132
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	0	4	3	0	31	2	0	0	0	383
Chuq	214	19	0	13	2	1	93	6	0	0	0	348
CieloEstrellado	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	213	10	0	2	5	1	4	0	0	6	2	243
Circeus	1726	8	0	50	27	0	155	13	0	0	0	1979
Cirt	5501	52	0	331	9	43	2456	15	10	0	2	8419
Citicat	685	14	0	20	1	0	33	4	0	0	0	757
Ck lostsword	308	4	0	13	1	5	308	16	0	0	0	655
Ckatz	1278	49	0	169	5	31	719	18	12	0	1	2282
Clarkk	23	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	1	0	0	11	1	1	0	1	15
ClockworkLunch	20	4	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	758	46	0	38	7	4	214	19	3	0	0	1089
Closedmouth	6744	82	0	51	1	1	602	23	22	0	23	7549
CloudNine	422	15	0	24	1	2	32	2	0	0	0	498
ClueBot	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	6487	90	0	419	24	8	391	20	4	0	0	7443
Cobi	6	0	0	1	0	0	0	0	0	0	0	7
Coelacan	1194	30	0	85	10	1	845	53	0	0	0	2218
Coffee	831	52	0	79	6	35	226	8	0	0	2	1239
Coffeedrinker87	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6798	40	0	2	15	1	3	0	0	0	0	6859
Colds7ream	92	2	0	1	1	0	1	0	0	0	2	99
Commander Keane	4763	219	0	38	22	0	122	29	0	0	0	5193
Conscious	13446	65	0	2	2	0	56	0	0	0	0	13571
Consumed Crustacean	732	22	0	42	3	1	354	36	1	0	0	1191
Conti	463	41	0	12	38	2	73	3	0	0	1	633
Cool Hand Luke	932	570	0	61	12	20	70	16	0	0	0	1681
Cool3	29	0	0	3	2	0	16	1	2	0	3	56
Coralmizu	168	2	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	235	25	11	494	60	0	0	0	12109
Coren	847	22	37	54	7	5	177	34	3	0	1	1187
Cowman109	431	36	0	101	43	4	360	44	0	0	0	1019
Craigy144	3097	11	0	8	3	1	38	0	0	0	0	3158
Crazycomputers	442	8	0	54	15	6	714	40	2	0	3	1284
Crazytales	156	15	0	18	1	2	117	18	0	0	0	327
Cremepuff222	175	6	0	3	2	1	96	4	0	0	0	287
Croat Canuck	83	3	0	1	1	0	5	1	0	0	0	94
Crum375	176	18	0	87	6	6	218	12	0	0	0	523
Cryptic	9383	238	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	156	28	0	150	13	0	0	0	5619
Cuchullain	281	45	0	12	0	3	38	0	0	0	0	379
Curps	5148	166	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	0	2
Cyde	19067	106	0	258	32	2	829	168	0	0	0	20462
Cydebot	8149	0	0	0	0	0	0	0	0	0	0	8149
Cyp	3	0	0	0	0	0	0	0	0	0	0	3
Cyrius	1620	99	0	26	13	0	68	8	0	0	0	1834
D. Recorder	172	18	0	2	0	0	34	2	0	0	0	228
DDima	524	9	0	1	0	0	1	0	0	0	0	535
DESiegel	892	112	0	9	2	0	40	29	0	0	0	1084
DGG	8319	199	0	160	4	10	109	10	6	0	1	8818
DJ Clayworth	5590	29	0	37	11	0	294	18	3	0	0	5982
DMacks	4287	45	0	280	10	39	683	11	45	0	0	5400
DO11.10	417	28	0	2	0	0	2	1	0	0	2	452
DVD R W	6129	53	0	54	17	7	962	21	0	0	3	7246
DaGizza	837	1	0	8	4	1	53	3	0	0	0	907
Dale Arnett	68	1	0	2	0	0	4	0	0	0	0	75
Dan100	294	16	0	18	12	0	186	44	0	0	0	570
DanKeshet	104	1	0	6	0	0	2	0	0	0	0	113
DanMS	65	0	0	2	1	0	0	0	0	0	0	68
Danaman5	281	4	0	6	0	0	4	4	0	0	1	300
Daniel	4866	266	0	629	40	64	563	74	4	0	13	6519
Daniel Case	2310	32	19	260	16	8	4426	155	28	0	3	7257
Daniel J. Leivick	692	7	0	18	1	0	73	5	0	0	0	796
Daniel Olsen	711	1	0	10	0	0	84	2	0	0	0	808
Daniel Quinlan	54	2	0	0	2	0	2	0	0	0	0	60
DanielCD	243	1	0	15	11	0	37	2	0	0	0	309
Dank	9507	82	0	122	7	1	1995	12	16	0	1	11743
Danny	1072	126	0	26	9	0	105	29	0	4	6	1377
Dannyisme	5	0	0	4	0	0	2	2	0	0	0	13
Dante Alighieri	681	18	0	20	17	3	176	29	0	0	0	944
DarkFalls	2612	143	0	295	37	70	709	41	3	0	5	3915
Darkoneko	2	0	0	0	0	0	1	0	0	1	0	4
Darthgriz98	250	4	0	5	0	0	115	2	0	0	0	376
Darwinek	2161	13	0	68	5	0	190	6	0	0	0	2443
Dave souza	77	3	0	14	2	0	526	20	4	0	0	646
Davemeistermoab	4	0	0	1	0	1	3	1	0	0	0	10
Davewild	2863	39	0	3	3	0	374	1	0	0	0	3283
Daveydweeb	134	1	0	2	0	0	4	1	0	0	0	142
David D.	26	4	0	12	1	5	11	2	1	0	0	62
David Eppstein	2216	27	0	31	7	0	42	1	1	0	0	2325
David Fuchs	901	24	0	62	4	11	83	8	0	0	0	1093
David Gerard	526	43	0	69	7	1	1439	357	0	0	1	2443
David Kernow	635	5	0	45	0	0	0	0	0	0	0	685
David Levy	906	118	0	222	58	3	138	10	1	0	7	1463
