User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Caknuck	2121	8	0	0	270	35	49	769	12	9	0	0	3273
Calliopejen1	2993	89	0	0	11	2	0	7	0	0	0	0	3102
Calmer Waters	7506	1	0	0	34	0	0	86	1	1	0	1	7630
Caltrop	58	22	0	0	0	0	0	6	3	0	0	0	89
Camaron	842	324	0	0	335	55	86	326	32	33	0	22	2055
CambridgeBayWeather	15174	272	0	0	226	18	142	1036	23	8	0	0	16899
Camembert	12	2	0	0	0	1	0	0	0	0	0	0	15
Camw	437	14	0	0	7	0	0	175	0	8	0	0	641
Can't sleep, clown will eat me	9514	230	0	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1035	34	0	0	17	5	1	24	3	0	0	0	1119
Canadian-Bacon	426	2	0	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	0	18	13	1	220	2	0	0	0	1448
Canley	887	11	0	0	1	1	0	4	0	0	0	0	904
Canterbury Tail	1690	7	0	0	85	8	10	416	23	12	0	0	2251
Cantthinkofagoodname	2	0	0	0	0	0	0	2	0	0	0	0	4
CapitalR	356	2	0	0	4	6	0	49	1	1	0	1	420
Capitalistroadster	620	1	0	0	3	0	0	23	3	0	0	0	650
Carabinieri	433	7	0	0	4	3	0	3	2	0	0	0	452
Carbonite	188	3	0	0	28	10	0	226	22	0	0	0	477
Carcharoth	36	75	0	0	2	1	0	1	2	0	0	0	117
Caribbean H.Q.	366	15	0	0	73	10	8	255	20	0	0	0	747
Carioca	2653	12	0	0	6	1	1	9	0	0	0	0	2682
Carlosguitar	2924	20	0	0	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10576	129	0	0	27	2	0	66	6	1	0	0	10807
Carnildo	2391	98	0	0	94	17	2	62	21	0	0	3	2688
Cary Bass	2	2	14	17	5	1	1	1	2	0	2	0	47
Casliber	103	88	7	0	167	10	31	112	6	0	0	2	526
Catbar	28	0	0	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	0	0	3	3	0	0	0	88
CattleGirl	908	12	0	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	0	423	28	54	892	36	0	0	78	4117
Causa sui	1715	40	0	0	90	53	20	255	17	3	0	1	2194
Cbl62	16	1	0	0	6	0	0	0	0	0	0	0	23
Cbrown1023	3423	77	0	0	404	72	7	206	32	0	0	8	4229
Cburnett	48	18	0	0	6	2	0	14	5	0	0	0	93
Cdc	2188	10	0	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	0	1	0	0	0	0	0	0	0	106
Celestianpower	735	9	0	0	19	3	0	170	70	0	0	0	1006
Cenarium	1789	77	0	0	362	140	180	134	4	6	0	28	2720
Centrx	17224	404	0	0	1005	947	13	1334	212	0	0	0	21139
CesarB	3606	141	0	0	123	49	0	942	212	0	0	0	5073
Ceyockey	1779	48	0	0	4	0	0	15	2	0	0	0	1848
Chadloder	0	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5161	13	0	0	69	8	0	188	14	0	0	0	5453
Chamal N	147	4	0	0	77	5	21	81	2	2	0	5	344
Chancemill	0	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1947	36	0	0	5	1	0	130	20	0	0	0	2139
Chase me ladies, I'm the Cavalry	2744	54	0	0	449	26	50	878	33	16	0	1	4251
Chaser	2058	97	0	0	309	45	37	855	114	7	0	10	3532
Ched Davis	118	9	0	0	4	0	0	11	4	0	0	4	150
Chell and the cake	0	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4708	213	0	0	79	14	5	140	30	0	0	1	5190
Chillum	1494	27	0	0	61	12	7	740	52	76	0	10	2479
Chmod007	13	2	0	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	0	1	0	0	2	1	0	0	0	68
Choess	10	7	0	0	0	0	0	0	0	0	0	0	17
Cholmes75	4621	10	0	0	26	0	0	112	3	0	0	0	4772
Chris 73	1934	15	0	0	62	8	1	713	30	3	0	0	2766
Chris G	6909	172	0	0	250	15	38	2934	70	231	0	11	10630
Chris Roy	3	0	0	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	0	0	51	8	0	210	21	0	0	0	1432
ChrisO	2405	22	0	0	337	63	35	757	39	3	0	1	3662
ChrisTheDude	734	18	0	0	6	1	0	20	2	0	0	0	781
Chrislk02	4105	61	0	0	134	21	8	1632	91	12	0	5	6069
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	0	43
Christopher Parham	746	10	0	0	4	2	0	24	1	0	0	0	787
Christopher Sundita	62	39	0	0	8	4	0	17	2	0	0	0	132
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	0	0	4	3	0	31	2	0	0	0	383
Chuq	216	19	0	0	13	2	1	93	6	0	0	0	350
CieloEstrellado	0	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	233	10	0	0	2	5	1	4	0	0	6	3	264
Circeus	1742	8	0	0	50	27	0	155	13	0	0	0	1995
Cirt	13216	114	0	0	743	20	144	5129	37	25	0	2	19430
Citicat	719	19	0	0	24	1	0	35	4	0	0	0	802
Ck lostsword	308	4	0	0	13	1	5	308	16	0	0	0	655
Ckatz	1402	60	0	0	195	6	43	880	18	24	0	1	2629
Clarkk	23	0	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	0	2	1	0	13	1	1	0	1	19
ClockworkLunch	20	4	0	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	759	46	0	0	39	7	4	218	19	4	0	0	1096
Closedmouth	22186	156	0	0	90	2	12	1482	43	75	0	40	24086
CloudNine	424	15	0	0	24	1	2	32	2	0	0	0	500
ClueBot	0	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	7113	92	0	0	442	24	8	448	21	5	0	0	8153
Cobi	51	0	0	0	1	0	0	3	1	0	0	1	57
Coelacan	1194	30	0	0	85	10	1	845	53	0	0	0	2218
