User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Cool Hand Luke	957	582	1	0	65	12	21	96	18	0	0	0	1752
Cool3	35	0	0	0	3	2	0	22	1	2	0	3	68
Coralmizu	168	2	0	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	0	235	25	11	494	60	0	0	0	12109
Coren	878	24	44	1	61	7	8	270	49	9	0	2	1353
Courcelles	50513	558	2197	5	5135	739	736	2100	39	101	0	3488	65611
Cowman109	433	36	0	0	101	43	4	360	44	0	0	0	1021
Craigy144	3099	11	0	0	8	3	1	38	0	0	0	1	3161
Crazycomputers	611	9	16	0	70	15	8	804	54	9	0	4	1600
Crazytales	175	15	0	0	19	1	2	119	20	1	0	0	352
Cremepuff222	176	6	0	0	3	2	1	98	5	0	0	0	291
Croat Canuck	83	3	0	0	1	1	0	5	1	0	0	0	94
Crum375	187	18	1	0	98	7	24	291	13	2	0	0	641
Cryptic	9383	238	0	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	0	156	28	0	150	13	0	0	0	5619
Cuchullain	437	90	0	0	16	1	4	51	0	0	0	0	599
Curps	5148	166	0	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	0	0	2
Cyde	19107	111	0	0	258	32	2	830	168	0	0	0	20508
Cydebot	45245	0	0	0	0	0	0	0	0	0	0	0	45245
Cyp	3	0	0	0	0	0	0	0	0	0	0	0	3
Cyrius	1641	102	0	0	30	13	0	72	8	0	0	0	1866
