User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Daniel J. Leivick	732	7	0	19	1	0	76	5	1	0	0	841
Daniel Olsen	711	1	0	10	0	0	84	2	0	0	0	808
Daniel Quinlan	54	3	0	0	2	0	2	0	0	0	0	61
DanielCD	243	1	0	15	11	0	37	2	0	0	0	309
Dank	9852	84	0	124	7	1	2175	13	17	0	1	12274
Danny	1072	126	0	26	9	0	105	29	0	4	7	1378
Dannyisme	5	0	0	4	0	0	2	2	0	0	0	13
Dante Alighieri	683	18	0	20	17	3	180	29	0	0	0	950
DarkFalls	2652	143	0	296	37	75	737	41	4	0	5	3990
Darkoneko	2	0	0	0	0	0	1	0	0	1	0	4
Darthgriz98	250	4	0	5	0	0	115	2	0	0	0	376
Darwinek	2176	13	0	69	5	0	191	6	0	0	0	2460
Dave souza	78	3	0	14	2	0	542	20	5	0	0	664
Davemeistermoab	4	0	0	1	0	1	3	1	0	0	1	11
Davewild	3059	40	0	3	3	0	381	1	0	0	0	3487
Daveydweeb	134	1	0	2	0	0	4	1	0	0	0	142
David D.	26	4	0	12	1	5	11	2	1	0	0	62
David Eppstein	2233	28	0	35	7	1	45	2	1	0	0	2352
David Fuchs	943	32	0	66	5	12	87	8	0	0	0	1153
David Gerard	526	43	0	69	7	1	1439	357	0	0	1	2443
David Kernow	635	5	0	45	0	0	0	0	0	0	0	685
David Levy	930	119	0	225	58	3	142	10	2	0	7	1496
David Newton	54	3	0	4	0	0	12	12	0	0	0	85
David.Monniaux	523	60	0	100	13	0	222	30	3	0	0	951
DavidLevinson	35	52	0	9	0	0	9	0	0	0	0	105
DavidWBrooks	1204	1	0	13	2	1	94	0	0	0	0	1315
Davidcannon	155	57	0	30	4	0	137	26	1	0	0	410
Davidgothberg	69	58	0	89	6	28	19	6	0	0	0	275
Davidruben	35	0	0	7	1	1	79	2	0	0	0	125
Davodd	191	29	0	3	3	1	23	1	0	0	0	251
Dbachmann	424	29	0	136	41	20	206	20	1	0	0	877
Dbenbenn	6085	109	0	260	583	0	26	7	0	0	0	7070
Dcoetzee	341	46	0	10	4	0	51	11	0	0	1	464
Ddstretch	13	0	0	20	5	6	207	20	6	0	0	277
Deacon of Pndapetzim	569	23	0	30	3	3	163	13	12	0	34	850
DeadEyeArrow	934	14	0	26	5	0	199	6	0	0	0	1184
Deathphoenix	1168	49	0	17	5	0	420	80	0	0	0	1739
Deb	13099	54	0	26	1	0	311	4	1	0	0	13496
Deckiller	1228	35	0	80	14	2	300	46	0	0	0	1705
Decltype	910	38	0	5	0	0	88	5	9	0	14	1069
